yourlist:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	isomap:M20170427F725F458AC8690F874DD868E4ED79B88B1B347L	Entry	Entry name		Protein names	Gene names	Organism	Length
MMP2		J3KRB7	J3KRB7_HUMAN	unreviewed	72 kDa type IV collagenase (Fragment)	MMP2	Homo sapiens (Human)	22
MMP2		P08253	MMP2_HUMAN	reviewed	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	Homo sapiens (Human)	660
NEDD9		A0A024QZV9	A0A024QZV9_HUMAN	unreviewed	Neural cell expressed, developmentally down-regulated 9, isoform CRA_a	NEDD9 hCG_36758	Homo sapiens (Human)	834
NEDD9		A0A087WUD2	A0A087WUD2_HUMAN	unreviewed	Enhancer of filamentation 1	NEDD9	Homo sapiens (Human)	685
NEDD9		D6RBQ2	D6RBQ2_HUMAN	unreviewed	Enhancer of filamentation 1 (Fragment)	NEDD9	Homo sapiens (Human)	32
NEDD9		D6RDV1	D6RDV1_HUMAN	unreviewed	Enhancer of filamentation 1	NEDD9	Homo sapiens (Human)	43
NEDD9		D6REP7	D6REP7_HUMAN	unreviewed	Enhancer of filamentation 1 (Fragment)	NEDD9	Homo sapiens (Human)	22
NEDD9		D6RGD7	D6RGD7_HUMAN	unreviewed	Enhancer of filamentation 1 (Fragment)	NEDD9	Homo sapiens (Human)	29
NEDD9		Q14511	CASL_HUMAN	reviewed	Enhancer of filamentation 1 (hEF1) (CRK-associated substrate-related protein) (CAS-L) (CasL) (Cas scaffolding protein family member 2) (Neural precursor cell expressed developmentally down-regulated protein 9) (NEDD-9) (Renal carcinoma antigen NY-REN-12) (p105) [Cleaved into: Enhancer of filamentation 1 p55]	NEDD9 CASL CASS2	Homo sapiens (Human)	834
NEFH		P12036	NFH_HUMAN	reviewed	Neurofilament heavy polypeptide (NF-H) (200 kDa neurofilament protein) (Neurofilament triplet H protein)	NEFH KIAA0845 NFH	Homo sapiens (Human)	1026
NEFH		Q16070	Q16070_HUMAN	unreviewed	Neurofilament heavy subunit (Fragment)	NEFH	Homo sapiens (Human)	20
PAK1		A0A024R5P0	A0A024R5P0_HUMAN	unreviewed	p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast), isoform CRA_a	PAK1 hCG_41873	Homo sapiens (Human)	545
PAK1		B3KNX7	B3KNX7_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1 (cDNA FLJ30666 fis, clone FCBBF1000627, highly similar to Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1))	PAK1	Homo sapiens (Human)	522
PAK1		E9PJF8	E9PJF8_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1 (Fragment)	PAK1	Homo sapiens (Human)	26
PAK1		E9PKH9	E9PKH9_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1	PAK1	Homo sapiens (Human)	106
PAK1		E9PM17	E9PM17_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1	PAK1	Homo sapiens (Human)	455
PAK1		E9PMP2	E9PMP2_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1 (Fragment)	PAK1	Homo sapiens (Human)	89
PAK1		E9PQW5	E9PQW5_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1 (Fragment)	PAK1	Homo sapiens (Human)	99
PAK1		E9PRP6	E9PRP6_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1 (Fragment)	PAK1	Homo sapiens (Human)	63
PAK1		H0YCG5	H0YCG5_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1 (Fragment)	PAK1	Homo sapiens (Human)	244
PAK1		H0YCM0	H0YCM0_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1 (Fragment)	PAK1	Homo sapiens (Human)	167
PAK1		H0YF55	H0YF55_HUMAN	unreviewed	Serine/threonine-protein kinase PAK 1 (Fragment)	PAK1	Homo sapiens (Human)	18
PAK1		Q13153	PAK1_HUMAN	reviewed	Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)	PAK1	Homo sapiens (Human)	545
PAK1		Q16512	PKN1_HUMAN	reviewed	Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N)	PKN1 PAK1 PKN PRK1 PRKCL1	Homo sapiens (Human)	942
PDCD4		Q53EL6	PDCD4_HUMAN	reviewed	Programmed cell death protein 4 (Neoplastic transformation inhibitor protein) (Nuclear antigen H731-like) (Protein 197/15a)	PDCD4 H731	Homo sapiens (Human)	469
PDCD4		Q5VZS7	Q5VZS7_HUMAN	unreviewed	Programmed cell death protein 4 (Fragment)	PDCD4	Homo sapiens (Human)	231
PDGFRB		E5RH16	E5RH16_HUMAN	unreviewed	Platelet-derived growth factor receptor beta	PDGFRB	Homo sapiens (Human)	239
PDGFRB		E5RII0	E5RII0_HUMAN	unreviewed	Platelet-derived growth factor receptor beta (Fragment)	PDGFRB	Homo sapiens (Human)	174
PDGFRB		E5RJ14	E5RJ14_HUMAN	unreviewed	Platelet-derived growth factor receptor beta (Fragment)	PDGFRB	Homo sapiens (Human)	146
PDGFRB		P09619	PGFRB_HUMAN	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1	Homo sapiens (Human)	1106
PEA15		B1AKZ4	B1AKZ4_HUMAN	unreviewed	Phosphoprotein enriched in astrocytes 15, isoform CRA_a (cDNA, FLJ92023, Homo sapiens phosphoprotein enriched in astrocytes 15 (PEA15),mRNA)	PEA15 hCG_39732	Homo sapiens (Human)	130
PEA15		B1AKZ5	B1AKZ5_HUMAN	unreviewed	Astrocytic phosphoprotein PEA-15	PEA15	Homo sapiens (Human)	108
PEA15		Q15121	PEA15_HUMAN	reviewed	Astrocytic phosphoprotein PEA-15 (15 kDa phosphoprotein enriched in astrocytes) (Phosphoprotein enriched in diabetes) (PED)	PEA15	Homo sapiens (Human)	130
PEA15		Q6FHL9	Q6FHL9_HUMAN	unreviewed	PEA15 protein	PEA15	Homo sapiens (Human)	130
PLAT		B4DN26	B4DN26_HUMAN	unreviewed	Tissue-type plasminogen activator (cDNA FLJ59355, highly similar to Tissue-type plasminogen activator (EC 3.4.21.68))	PLAT	Homo sapiens (Human)	473
PLAT		B4DNJ1	B4DNJ1_HUMAN	unreviewed	Tissue-type plasminogen activator (cDNA FLJ59358, highly similar to Tissue-type plasminogen activator (EC 3.4.21.68))	PLAT	Homo sapiens (Human)	436
PLAT		B8ZX62	B8ZX62_HUMAN	unreviewed	Tissue-type plasminogen activator (EC 3.4.21.68)	PLAT	Homo sapiens (Human)	562
PLAT		E5RGA1	E5RGA1_HUMAN	unreviewed	Tissue-type plasminogen activator (Fragment)	PLAT	Homo sapiens (Human)	178
PLAT		E5RHG4	E5RHG4_HUMAN	unreviewed	Tissue-type plasminogen activator (Fragment)	PLAT	Homo sapiens (Human)	157
PLAT		E7ESF4	E7ESF4_HUMAN	unreviewed	Tissue-type plasminogen activator	PLAT	Homo sapiens (Human)	499
PLAT		H0YBH9	H0YBH9_HUMAN	unreviewed	Tissue-type plasminogen activator (Fragment)	PLAT	Homo sapiens (Human)	96
PLAT		P00750	TPA_HUMAN	reviewed	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	PLAT	Homo sapiens (Human)	562
PLCB2		H0YKR9	H0YKR9_HUMAN	unreviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 (Fragment)	PLCB2	Homo sapiens (Human)	87
PLCB2		H0YNI4	H0YNI4_HUMAN	unreviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 (Fragment)	PLCB2	Homo sapiens (Human)	74
PLCB2		Q00722	PLCB2_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-2) (Phospholipase C-beta-2) (PLC-beta-2)	PLCB2	Homo sapiens (Human)	1185
PLCB2		Q9BVT6	Q9BVT6_HUMAN	unreviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 (PLCB2 protein) (Phospholipase C, beta 2) (Phospholipase C, beta 2, isoform CRA_a)	PLCB2 hCG_38956	Homo sapiens (Human)	199
PMAIP1		A0A024R2C2	A0A024R2C2_HUMAN	unreviewed	Phorbol-12-myristate-13-acetate-induced protein 1, isoform CRA_a	PMAIP1 hCG_1776475	Homo sapiens (Human)	73
PMAIP1		A0A0S2Z490	A0A0S2Z490_HUMAN	unreviewed	Phorbol-12-myristate-13-acetate-induced protein 1 isoform 2	PMAIP1	Homo sapiens (Human)	54
PMAIP1		A0A0S2Z4V2	A0A0S2Z4V2_HUMAN	unreviewed	Phorbol-12-myristate-13-acetate-induced protein 1 isoform 1 (Fragment)	PMAIP1	Homo sapiens (Human)	136
PMAIP1		Q13794	APR_HUMAN	reviewed	Phorbol-12-myristate-13-acetate-induced protein 1 (PMA-induced protein 1) (Immediate-early-response protein APR) (Protein Noxa)	PMAIP1 NOXA	Homo sapiens (Human)	54
PPP2R5B		A0A024R593	A0A024R593_HUMAN	unreviewed	Protein phosphatase 2, regulatory subunit B (B56), beta isoform, isoform CRA_a	PPP2R5B hCG_23377	Homo sapiens (Human)	497
PPP2R5B		E9PNY3	E9PNY3_HUMAN	unreviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (Fragment)	PPP2R5B	Homo sapiens (Human)	193
PPP2R5B		E9PQN5	E9PQN5_HUMAN	unreviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (Fragment)	PPP2R5B	Homo sapiens (Human)	111
PPP2R5B		Q15173	2A5B_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)	PPP2R5B	Homo sapiens (Human)	497
PPP3R1		D3YTA9	D3YTA9_HUMAN	unreviewed	Calcineurin subunit B type 1	PPP3R1	Homo sapiens (Human)	189
PPP3R1		F6U1T9	F6U1T9_HUMAN	unreviewed	Calcineurin subunit B type 1	PPP3R1	Homo sapiens (Human)	160
PPP3R1		P63098	CANB1_HUMAN	reviewed	Calcineurin subunit B type 1 (Protein phosphatase 2B regulatory subunit 1) (Protein phosphatase 3 regulatory subunit B alpha isoform 1)	PPP3R1 CNA2 CNB	Homo sapiens (Human)	170
PPT1		E9PIA8	E9PIA8_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1 (Fragment)	PPT1	Homo sapiens (Human)	204
PPT1		E9PK48	E9PK48_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1	PPT1	Homo sapiens (Human)	148
PPT1		E9PMG2	E9PMG2_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1 (Fragment)	PPT1	Homo sapiens (Human)	271
PPT1		E9PP28	E9PP28_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1 (Fragment)	PPT1	Homo sapiens (Human)	98
PPT1		E9PSE5	E9PSE5_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1	PPT1	Homo sapiens (Human)	87
PPT1		P50897	PPT1_HUMAN	reviewed	Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)	PPT1 CLN1 PPT	Homo sapiens (Human)	306
PPT1		Q5T0S4	Q5T0S4_HUMAN	unreviewed	Palmitoyl-protein thioesterase 1 (Fragment)	PPT1	Homo sapiens (Human)	177
PRF1		E6Y8C6	E6Y8C6_HUMAN	unreviewed	Perforin 1	PRF1	Homo sapiens (Human)	555
PRF1		P14222	PERF_HUMAN	reviewed	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)	555
PRF1		V9TNI8	V9TNI8_HUMAN	unreviewed	Perforin (Fragment)	PRF1	Homo sapiens (Human)	130
PSEN1		A0A024R6A3	A0A024R6A3_HUMAN	unreviewed	Presenilin (EC 3.4.23.-)	PSEN1 hCG_21521	Homo sapiens (Human)	467
PSEN1		A0A0S2Z484	A0A0S2Z484_HUMAN	unreviewed	Presenilin 1 isoform 3	PSEN1	Homo sapiens (Human)	35
PSEN1		A0A0S2Z4D2	A0A0S2Z4D2_HUMAN	unreviewed	Presenilin (EC 3.4.23.-) (Fragment)	PSEN1 hCG_21521	Homo sapiens (Human)	463
PSEN1		E7ES96	E7ES96_HUMAN	unreviewed	Presenilin (EC 3.4.23.-)	PSEN1	Homo sapiens (Human)	375
PSEN1		G3V2B1	G3V2B1_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	91
PSEN1		G3V2G7	G3V2G7_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	155
PSEN1		G3V3P0	G3V3P0_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	62
PSEN1		G3V3Z0	G3V3Z0_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	135
PSEN1		G3V449	G3V449_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	63
PSEN1		G3V490	G3V490_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	42
PSEN1		G3V499	G3V499_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	147
PSEN1		G3V4M0	G3V4M0_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	99
PSEN1		G3V4P4	G3V4P4_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	109
PSEN1		G3V519	G3V519_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	92
PSEN1		G3V5B1	G3V5B1_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	58
PSEN1		H0YM52	H0YM52_HUMAN	unreviewed	Presenilin-1 (Fragment)	PSEN1	Homo sapiens (Human)	109
PSEN1		H0YNU4	H0YNU4_HUMAN	unreviewed	Presenilin-1	PSEN1	Homo sapiens (Human)	57
PSEN1		P49768	PSN1_HUMAN	reviewed	Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	PSEN1 AD3 PS1 PSNL1	Homo sapiens (Human)	467
PSEN1		Q6F4C0	Q6F4C0_HUMAN	unreviewed	Presenilin 1 (Fragment)	PSEN1	Homo sapiens (Human)	47
PSEN2		B1AP22	B1AP22_HUMAN	unreviewed	Presenilin (EC 3.4.23.-)	PSEN2 hCG_15757	Homo sapiens (Human)	481
PSEN2		E5RFW4	E5RFW4_HUMAN	unreviewed	Presenilin (EC 3.4.23.-) (Fragment)	PSEN2	Homo sapiens (Human)	144
PSEN2		E5RG63	E5RG63_HUMAN	unreviewed	Presenilin (EC 3.4.23.-)	PSEN2	Homo sapiens (Human)	304
PSEN2		E5RHT1	E5RHT1_HUMAN	unreviewed	Presenilin-2 (Fragment)	PSEN2	Homo sapiens (Human)	129
PSEN2		E5RJM5	E5RJM5_HUMAN	unreviewed	Presenilin-2 (Fragment)	PSEN2	Homo sapiens (Human)	21
PSEN2		P49810	PSN2_HUMAN	reviewed	Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit]	PSEN2 AD4 PS2 PSNL2 STM2	Homo sapiens (Human)	448
PTK2		A0A024R9H6	A0A024R9H6_HUMAN	unreviewed	PTK2 protein tyrosine kinase 2, isoform CRA_a	PTK2 hCG_20739	Homo sapiens (Human)	570
PTK2		A0A1D5RMT1	A0A1D5RMT1_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	8
PTK2		B4DWJ1	B4DWJ1_HUMAN	unreviewed	Focal adhesion kinase 1 (cDNA FLJ57218, highly similar to Focal adhesion kinase 1 (EC 2.7.10.2))	PTK2	Homo sapiens (Human)	362
PTK2		E5RFW9	E5RFW9_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	121
PTK2		E5RG54	E5RG54_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	66
PTK2		E5RG66	E5RG66_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	119
PTK2		E5RG80	E5RG80_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	133
PTK2		E5RG86	E5RG86_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	59
PTK2		E5RGA6	E5RGA6_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	156
PTK2		E5RGP1	E5RGP1_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	79
PTK2		E5RH01	E5RH01_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	117
PTK2		E5RH08	E5RH08_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	51
PTK2		E5RH48	E5RH48_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	107
PTK2		E5RHD8	E5RHD8_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	115
PTK2		E5RHK7	E5RHK7_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	67
PTK2		E5RI03	E5RI03_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	120
PTK2		E5RI29	E5RI29_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	124
PTK2		E5RI72	E5RI72_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	120
PTK2		E5RII9	E5RII9_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	67
PTK2		E5RIK4	E5RIK4_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	65
PTK2		E5RIR5	E5RIR5_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	72
PTK2		E5RJI4	E5RJI4_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	168
PTK2		E5RJN1	E5RJN1_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	14
PTK2		E5RJP0	E5RJP0_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	122
PTK2		E5RJQ2	E5RJQ2_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	132
PTK2		E7ESA6	E7ESA6_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	1096
PTK2		E9PEI4	E9PEI4_HUMAN	unreviewed	Focal adhesion kinase 1	PTK2	Homo sapiens (Human)	680
PTK2		H0YAS0	H0YAS0_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	72
PTK2		H0YB16	H0YB16_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	724
PTK2		H0YB33	H0YB33_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	128
PTK2		H0YB99	H0YB99_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	319
PTK2		H0YBP1	H0YBP1_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	1017
PTK2		H0YBZ1	H0YBZ1_HUMAN	unreviewed	Focal adhesion kinase 1 (Fragment)	PTK2	Homo sapiens (Human)	753
PTK2		I6L996	I6L996_HUMAN	unreviewed	PTK2 protein	PTK2	Homo sapiens (Human)	680
PTK2		Q05397	FAK1_HUMAN	reviewed	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	PTK2 FAK FAK1	Homo sapiens (Human)	1052
RARA		A8MUP8	A8MUP8_HUMAN	unreviewed	Retinoic acid receptor alpha (Retinoic acid receptor, alpha, isoform CRA_e)	RARA hCG_2007196	Homo sapiens (Human)	478
RARA		F1D8N9	F1D8N9_HUMAN	unreviewed	Retinoic acid nuclear receptor alpha variant 2 (Retinoic acid receptor, alpha, isoform CRA_b)	NR1B1 RARA hCG_2007196	Homo sapiens (Human)	457
RARA		J3KSJ4	J3KSJ4_HUMAN	unreviewed	Retinoic acid receptor alpha (Fragment)	RARA	Homo sapiens (Human)	186
RARA		J3QRM2	J3QRM2_HUMAN	unreviewed	Retinoic acid receptor alpha (Fragment)	RARA	Homo sapiens (Human)	66
RARA		P10276	RARA_HUMAN	reviewed	Retinoic acid receptor alpha (RAR-alpha) (Nuclear receptor subfamily 1 group B member 1)	RARA NR1B1	Homo sapiens (Human)	462
RARA		Q15997	Q15997_HUMAN	unreviewed	RARA protein (Fragment)	RARA	Homo sapiens (Human)	11
RARA		Q6I9R7	Q6I9R7_HUMAN	unreviewed	RARA protein (Retinoic acid nuclear receptor alpha variant 1) (Retinoic acid receptor, alpha, isoform CRA_c) (cDNA, FLJ92939, Homo sapiens retinoic acid receptor, alpha (RARA), mRNA)	RARA NR1B1 hCG_2007196	Homo sapiens (Human)	462
RELA		A0A087WVP0	A0A087WVP0_HUMAN	unreviewed	Transcription factor p65	RELA	Homo sapiens (Human)	246
RELA		A0A087X0W8	A0A087X0W8_HUMAN	unreviewed	Transcription factor p65	RELA	Homo sapiens (Human)	448
RELA		E9PI38	E9PI38_HUMAN	unreviewed	Transcription factor p65 (Fragment)	RELA	Homo sapiens (Human)	185
RELA		E9PJR1	E9PJR1_HUMAN	unreviewed	Transcription factor p65 (Fragment)	RELA	Homo sapiens (Human)	89
RELA		E9PJZ9	E9PJZ9_HUMAN	unreviewed	Transcription factor p65 (Fragment)	RELA	Homo sapiens (Human)	29
RELA		E9PKH5	E9PKH5_HUMAN	unreviewed	Transcription factor p65 (Fragment)	RELA	Homo sapiens (Human)	418
RELA		E9PKV4	E9PKV4_HUMAN	unreviewed	Transcription factor p65	RELA	Homo sapiens (Human)	237
RELA		E9PM47	E9PM47_HUMAN	unreviewed	Transcription factor p65	RELA	Homo sapiens (Human)	64
RELA		E9PMD5	E9PMD5_HUMAN	unreviewed	Transcription factor p65 (Fragment)	RELA	Homo sapiens (Human)	161
RELA		E9PN69	E9PN69_HUMAN	unreviewed	Transcription factor p65	RELA	Homo sapiens (Human)	134
RELA		E9PNK5	E9PNK5_HUMAN	unreviewed	Transcription factor p65	RELA	Homo sapiens (Human)	85
RELA		E9PNV4	E9PNV4_HUMAN	unreviewed	Transcription factor p65	RELA	Homo sapiens (Human)	153
RELA		E9PQS6	E9PQS6_HUMAN	unreviewed	Transcription factor p65 (Fragment)	RELA	Homo sapiens (Human)	208
RELA		E9PRX2	E9PRX2_HUMAN	unreviewed	Transcription factor p65 (Fragment)	RELA	Homo sapiens (Human)	95
RELA		E9PSE4	E9PSE4_HUMAN	unreviewed	Transcription factor p65	RELA	Homo sapiens (Human)	49
RELA		H0YCB4	H0YCB4_HUMAN	unreviewed	Transcription factor p65 (Fragment)	RELA	Homo sapiens (Human)	72
RELA		L0R6N5	L0R6N5_HUMAN	unreviewed	Alternative protein RELA	RELA	Homo sapiens (Human)	71
RELA		Q04206	TF65_HUMAN	reviewed	Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	RELA NFKB3	Homo sapiens (Human)	551
RELA		Q2TAM5	Q2TAM5_HUMAN	unreviewed	RELA protein (Transcription factor p65)	RELA	Homo sapiens (Human)	377
RELA		Q96CP1	Q96CP1_HUMAN	unreviewed	RELA protein	RELA	Homo sapiens (Human)	246
RELA		Q96F54	Q96F54_HUMAN	unreviewed	RELA protein	RELA	Homo sapiens (Human)	220
RETSAT		H0YGU3	H0YGU3_HUMAN	unreviewed	All-trans-retinol 13,14-reductase (Fragment)	RETSAT	Homo sapiens (Human)	140
RETSAT		H7BZ16	H7BZ16_HUMAN	unreviewed	All-trans-retinol 13,14-reductase (Fragment)	RETSAT	Homo sapiens (Human)	255
RETSAT		H7BZ81	H7BZ81_HUMAN	unreviewed	All-trans-retinol 13,14-reductase (Fragment)	RETSAT	Homo sapiens (Human)	320
RETSAT		H7C3J0	H7C3J0_HUMAN	unreviewed	All-trans-retinol 13,14-reductase (Fragment)	RETSAT	Homo sapiens (Human)	399
RETSAT		I0EZ74	I0EZ74_HUMAN	unreviewed	Retinol saturase (Fragment)	RETSAT	Homo sapiens (Human)	123
RETSAT		Q6NUM9	RETST_HUMAN	reviewed	All-trans-retinol 13,14-reductase (EC 1.3.99.23) (All-trans-13,14-dihydroretinol saturase) (RetSat) (PPAR-alpha-regulated and starvation-induced gene protein)	RETSAT PPSIG UNQ439/PRO872	Homo sapiens (Human)	610
RHOB		P62745	RHOB_HUMAN	reviewed	Rho-related GTP-binding protein RhoB (Rho cDNA clone 6) (h6)	RHOB ARH6 ARHB	Homo sapiens (Human)	196
RHOT2		H3BMP9	H3BMP9_HUMAN	unreviewed	Mitochondrial Rho GTPase 2	RHOT2	Homo sapiens (Human)	55
RHOT2		H3BP40	H3BP40_HUMAN	unreviewed	Mitochondrial Rho GTPase 2	RHOT2	Homo sapiens (Human)	80
RHOT2		H3BST5	H3BST5_HUMAN	unreviewed	Mitochondrial Rho GTPase 2 (Fragment)	RHOT2	Homo sapiens (Human)	208
RHOT2		H3BU27	H3BU27_HUMAN	unreviewed	Mitochondrial Rho GTPase 2 (Fragment)	RHOT2	Homo sapiens (Human)	155
RHOT2		H3BUX4	H3BUX4_HUMAN	unreviewed	Mitochondrial Rho GTPase 2	RHOT2	Homo sapiens (Human)	135
RHOT2		H3BVI5	H3BVI5_HUMAN	unreviewed	Mitochondrial Rho GTPase 2	RHOT2	Homo sapiens (Human)	72
RHOT2		I3L2C6	I3L2C6_HUMAN	unreviewed	Mitochondrial Rho GTPase 2 (Fragment)	RHOT2	Homo sapiens (Human)	214
RHOT2		Q8IXI1	MIRO2_HUMAN	reviewed	Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2)	RHOT2 ARHT2 C16orf39	Homo sapiens (Human)	618
